Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
49,98.7,4462768128,67.6,78.4,163258368,2.3999999999999915,23.2,2871296,74.69769365720073,-0.05053696405099117
50,73.3,4400283648,66.8,53.0,100773888,1.5999999999999943,23.2,2871296,74.69769365720073,-0.05053696405099117
51,85.3,4401111040,66.8,65.0,101601280,1.5999999999999943,23.2,2871296,74.69805454130534,-0.0501760799463824
52,76.7,4370780160,66.4,56.400000000000006,71270400,1.2000000000000028,23.2,2871296,74.69805454130534,-0.0501760799463824
53,71.5,4366016512,66.3,51.2,66506752,1.0999999999999943,23.2,2871296,74.6984334585359,-0.049797162715819354
54,85.9,4367081472,66.4,65.60000000000001,67571712,1.2000000000000028,23.2,2871296,74.69813274457452,-0.05009787667719934
55,85.4,4374589440,66.5,65.10000000000001,75079680,1.2999999999999972,23.2,2871296,74.69813274457452,-0.05009787667719934
56,75.6,4385415168,66.6,55.3,85905408,1.3999999999999915,23.2,16179200,74.7054097387131,-0.04282088253862071
57,82.2,4385411072,66.6,61.900000000000006,85901312,1.3999999999999915,23.2,16179200,74.70584251480145,-0.04238810645027513
58,89.2,4363370496,66.5,68.9,63860736,1.2999999999999972,23.2,16179200,74.70591464270973,-0.04231597854199265
59,94.5,4361818112,66.3,74.2,62308352,1.0999999999999943,23.2,16179200,74.70591464270973,-0.04231597854199265
60,81.5,4361756672,66.3,61.2,62246912,1.0999999999999943,23.2,16179200,74.70591464270973,-0.04231597854199265
61,73.1,4357902336,66.3,52.8,58392576,1.0999999999999943,23.2,16179200,74.70591464270973,-0.04231597854199265
62,87.3,4372541440,66.4,67.0,73031680,1.2000000000000028,23.2,16179200,74.70596873837098,-0.04226188288073729
63,88.9,4378128384,66.1,68.60000000000001,78618624,0.8999999999999915,23.2,16179200,74.70607692899937,-0.04215369225235577
64,85.3,4375904256,66.2,65.0,76394496,1.0,23.2,16179200,74.70607692899937,-0.04215369225235577
65,73.6,4377313280,66.2,53.3,77803520,1.0,23.2,16179200,74.70607692899937,-0.04215369225235577
66,78.4,4366655488,66.1,58.10000000000001,67145728,0.8999999999999915,23.2,16179200,74.70607692899937,-0.04215369225235577
67,93.3,4355538944,65.9,73.0,56029184,0.7000000000000028,23.2,16179200,74.70614905557076,-0.04208156568095944
68,84.8,4353024000,65.8,64.5,53514240,0.5999999999999943,23.2,16179200,74.70614905557076,-0.04208156568095944
69,82.5,4367966208,66.0,62.2,68456448,0.7999999999999972,23.2,16179200,74.70622118173083,-0.04200943952089631
70,69.8,4374425600,66.0,49.5,74915840,0.7999999999999972,23.2,16179200,74.70606141183197,-0.042169209419753884
71,81.0,4387184640,66.2,60.7,87674880,1.0,23.2,16179200,74.70622369486615,-0.04200692638556802
72,87.1,4374433792,66.0,66.8,74924032,0.7999999999999972,23.2,16179200,74.70601067030137,-0.042219950950354246
73,62.7,4339490816,65.6,42.400000000000006,39981056,0.3999999999999915,23.2,16179200,74.70601067030137,-0.042219950950354246
