Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
53,99.0,4371378176,65.9,84.3,64684032,0.9000000000000057,23.4,6070272,74.82837544729495,0.016902615375016694
54,98.8,4372447232,65.9,84.1,65753088,0.9000000000000057,23.4,6070272,74.82837544729495,0.016902615375016694
55,98.8,4378759168,66.0,84.1,72065024,1.0,23.4,6070272,74.82816452797215,0.016691696052220095
56,97.5,4376580096,66.0,82.8,69885952,1.0,23.4,6070272,74.82816452797215,0.016691696052220095
57,97.2,4378439680,66.0,82.5,71745536,1.0,23.4,6070272,74.82816452797215,0.016691696052220095
58,99.3,4379078656,66.0,84.6,72384512,1.0,23.4,6070272,74.82823547982022,0.01676264790029336
59,97.5,4378992640,66.0,82.8,72298496,1.0,23.4,16859136,74.83823705509026,0.026764223170332002
60,96.3,4379582464,66.0,81.6,72888320,1.0,23.4,16859136,74.83823705509026,0.026764223170332002
61,98.7,4388122624,66.1,84.0,81428480,1.0999999999999943,23.4,16859136,74.83823705509026,0.026764223170332002
62,97.5,4388130816,66.1,82.8,81436672,1.0999999999999943,23.4,16859136,74.83823705509026,0.026764223170332002
63,96.5,4381863936,66.2,81.8,75169792,1.2000000000000028,23.4,16859136,74.83832567312942,0.026852841209489497
64,98.0,4385914880,66.2,83.3,79220736,1.2000000000000028,23.4,16859136,74.83832567312942,0.026852841209489497
65,98.7,4384899072,66.2,84.0,78204928,1.2000000000000028,23.4,16859136,74.83862696979345,0.02715413787352361
66,97.0,4386979840,66.3,82.3,80285696,1.2999999999999972,23.4,16859136,74.83862696979345,0.02715413787352361
67,97.7,4395151360,66.2,83.0,88457216,1.2000000000000028,23.4,16859136,74.83862696979345,0.02715413787352361
68,98.8,4398735360,66.3,84.1,92041216,1.2999999999999972,23.4,16859136,74.8391763745463,0.027703542626369426
69,96.0,4400754688,66.3,81.3,94060544,1.2999999999999972,23.4,16859136,74.8391763745463,0.027703542626369426
70,98.0,4403200000,66.3,83.3,96505856,1.2999999999999972,23.4,16859136,74.8391763745463,0.027703542626369426
71,98.2,4404232192,66.3,83.5,97538048,1.2999999999999972,23.4,16859136,74.8391763745463,0.027703542626369426
72,98.7,4404994048,66.3,84.0,98299904,1.2999999999999972,23.4,16859136,74.8391763745463,0.027703542626369426
73,98.2,4409421824,66.4,83.5,102727680,1.4000000000000057,23.4,16859136,74.8391763745463,0.027703542626369426
74,85.5,4408320000,66.4,70.8,101625856,1.4000000000000057,23.4,16859136,74.83965486881493,0.028182036895003648
75,99.3,4417761280,66.5,84.6,111067136,1.5,23.4,16859136,74.83965486881493,0.028182036895003648
76,99.8,4367020032,65.8,85.1,60325888,0.7999999999999972,23.4,16859136,74.83965486881493,0.028182036895003648
77,95.2,4364898304,65.9,80.5,58204160,0.9000000000000057,23.4,16859136,74.83965486881493,0.028182036895003648
78,98.3,4365697024,65.9,83.6,59002880,0.9000000000000057,23.4,16859136,74.8397257553069,0.028252923386972384
79,99.5,4368547840,65.9,84.8,61853696,0.9000000000000057,23.4,16859136,74.8397257553069,0.028252923386972384
80,99.3,4365893632,65.9,84.6,59199488,0.9000000000000057,23.4,16859136,74.8397257553069,0.028252923386972384
81,97.2,4365656064,65.9,82.5,58961920,0.9000000000000057,23.4,16859136,74.8400270184417,0.028554186521773772
82,96.5,4367917056,65.9,81.8,61222912,0.9000000000000057,23.4,16859136,74.8400270184417,0.028554186521773772
83,98.7,4358524928,65.8,84.0,51830784,0.7999999999999972,23.4,16859136,74.84009790283672,0.028625070916788786
84,99.0,4352786432,65.7,84.3,46092288,0.7000000000000028,23.4,16859136,74.84015106587087,0.02867823395094149
85,99.5,4361441280,65.8,84.8,54747136,0.7999999999999972,23.4,16859136,74.84015106587087,0.02867823395094149
86,96.7,4359106560,65.9,82.0,52412416,0.9000000000000057,23.4,16859136,74.84015106587087,0.02867823395094149
87,97.5,4351561728,65.9,82.8,44867584,0.9000000000000057,23.4,16859136,74.84015106587087,0.02867823395094149
88,99.2,4355796992,65.9,84.5,49102848,0.9000000000000057,23.4,16859136,74.84036371576079,0.028890883840858805
89,97.0,4359299072,66.0,82.3,52604928,1.0,23.4,27705344,74.84433252066529,0.03285968874536138
90,96.7,4365516800,66.0,82.0,58822656,1.0,23.4,27705344,74.84596220282148,0.034489370901553684
91,98.2,4366524416,66.0,83.5,59830272,1.0,23.4,27705344,74.84596220282148,0.034489370901553684
92,96.7,4360720384,65.5,82.0,54026240,0.5,23.4,27705344,74.84596220282148,0.034489370901553684
93,97.7,4367851520,65.7,83.0,61157376,0.7000000000000028,23.4,27705344,74.84626331662821,0.03479048470828161
94,98.5,4373291008,65.6,83.8,66596864,0.5999999999999943,23.4,27705344,74.8460525009383,0.034579669018370396
95,99.5,4368691200,65.8,84.8,61997056,0.7999999999999972,23.4,27705344,74.8460525009383,0.034579669018370396
96,98.0,4376141824,65.7,83.3,69447680,0.7000000000000028,23.4,27705344,74.8460525009383,0.034579669018370396
97,95.7,4377309184,65.7,81.0,70615040,0.7000000000000028,23.4,27705344,74.8460525009383,0.034579669018370396
98,97.2,4379856896,65.8,82.5,73162752,0.7999999999999972,23.4,27705344,74.8460525009383,0.034579669018370396
99,99.5,4386566144,65.8,84.8,79872000,0.7999999999999972,23.4,27705344,74.84637132123832,0.0348984893183939
100,100.0,4395683840,65.9,85.3,88989696,0.9000000000000057,23.4,27705344,74.84637132123832,0.0348984893183939
101,99.0,4408422400,66.1,84.3,101728256,1.0999999999999943,23.4,27705344,74.84637132123832,0.0348984893183939
102,85.4,4389621760,65.8,70.7,82927616,0.7999999999999972,23.4,27705344,74.85109954013342,0.03962670821348979
103,99.2,4389621760,65.8,84.5,82927616,0.7999999999999972,23.4,27705344,74.85109954013342,0.03962670821348979
104,98.3,4386586624,65.9,83.6,79892480,0.9000000000000057,23.4,27705344,74.85152446150337,0.04005162958344499
105,98.2,4391395328,65.9,83.5,84701184,0.9000000000000057,23.4,27705344,74.85152446150337,0.04005162958344499
106,99.7,4389257216,65.8,85.0,82563072,0.7999999999999972,23.4,27705344,74.85152446150337,0.04005162958344499
107,98.5,4386521088,65.8,83.8,79826944,0.7999999999999972,23.4,27705344,74.85152446150337,0.04005162958344499
108,98.0,4390088704,65.9,83.3,83394560,0.9000000000000057,23.4,27705344,74.85152446150337,0.04005162958344499
109,98.2,4389830656,65.8,83.5,83136512,0.7999999999999972,23.4,27705344,74.85152446150337,0.04005162958344499
110,69.1,4335554560,65.2,54.39999999999999,28860416,0.20000000000000284,23.4,27705344,74.85152446150337,0.04005162958344499
